iter	RMSE
0	77734.28097
1	75871.45274
2	74056.90951
3	72181.14295
4	70389.6654
5	68508.09129
6	66877.95155
7	65269.58465
8	63707.67559
9	62348.19961
10	60974.21144
11	59631.50338
12	58357.56252
13	57155.00299
14	55869.9909
15	54600.29512
16	53477.01097
17	52426.58417
18	51380.36567
19	50262.654
20	49240.16177
21	48329.73103
22	47369.75132
23	46473.91465
24	45588.65794
25	44742.28831
26	43904.15988
27	43141.39743
28	42405.15613
29	41680.26212
30	41035.49791
31	40396.02772
32	39767.71766
33	39138.51936
34	38602.17337
35	38013.65301
36	37496.15001
37	36969.51298
38	36487.40868
39	36099.27655
40	35622.45465
41	35094.11073
42	34723.54153
43	34313.08764
44	33830.2449
45	33439.95088
46	32958.72826
47	32535.88212
48	32243.94926
49	31901.22225
50	31568.34524
51	31207.48277
52	30969.79879
53	30571.82962
54	30295.43537
55	29995.43685
56	29650.17401
57	29295.37668
58	29031.27974
59	28791.27198
60	28509.78209
61	28234.58767
62	28001.81812
63	27768.34644
64	27593.13688
65	27373.49625
66	27140.0188
67	26953.74179
68	26719.64398
69	26466.9682
70	26253.32815
71	26007.4485
72	25841.81269
73	25678.75968
74	25505.67254
75	25336.36054
76	25125.47474
77	24912.6736
78	24774.78586
79	24634.11143
80	24422.32768
81	24263.46882
82	24065.89061
83	23902.15044
84	23767.43661
85	23640.28584
86	23571.36835
87	23442.12385
88	23367.18536
89	23214.52494
90	23061.89805
91	22932.99929
92	22824.80123
93	22672.97246
94	22547.47812
95	22431.40598
96	22326.99308
97	22239.30358
98	22113.11101
99	22017.03557
100	21904.4363
101	21779.42137
102	21690.58501
103	21618.02807
104	21534.43402
105	21460.88892
106	21356.88004
107	21283.61435
108	21201.9071
109	21125.55386
110	21046.45497
111	20950.68539
112	20869.69252
113	20818.62142
114	20767.34882
115	20690.92668
116	20625.34051
117	20542.31415
118	20458.36722
119	20371.90042
120	20283.22711
121	20195.17202
122	20112.59889
123	20053.39632
124	20007.76824
125	19942.39028
126	19885.88061
127	19791.25234
128	19711.98046
129	19635.70293
130	19581.18921
131	19557.47155
132	19516.16743
133	19433.95428
134	19351.68987
135	19280.25361
136	19244.24863
137	19189.17671
138	19117.37268
139	19034.77045
140	18982.0713
141	18934.66729
142	18840.60538
143	18804.34694
144	18752.44099
145	18695.67571
146	18627.60972
147	18571.16324
148	18532.66913
149	18473.0354
150	18423.74856
151	18379.85047
152	18332.27055
153	18303.21157
154	18269.46121
155	18237.23342
156	18198.72204
157	18162.37854
158	18123.69716
159	18080.24544
160	18036.66025
161	17996.58868
162	17956.50271
163	17913.56768
164	17854.22756
165	17804.38501
166	17767.83742
167	17727.5279
168	17672.35116
169	17617.01218
170	17584.13686
171	17549.24241
172	17511.00227
173	17461.69606
174	17435.50446
175	17413.63963
176	17377.72753
177	17331.52441
178	17290.44395
179	17265.30651
180	17232.57939
181	17196.58831
182	17167.47037
183	17120.76683
184	17080.27768
185	17019.07861
186	16971.97015
187	16930.32918
188	16900.04306
189	16864.15979
190	16823.70984
191	16782.13544
192	16757.54329
193	16723.65195
194	16686.76674
195	16654.8469
196	16629.28293
197	16618.86515
198	16573.45726
199	16544.44956
200	16522.44289
201	16492.42267
202	16454.60587
203	16436.63928
204	16403.01826
205	16366.91104
206	16342.31728
207	16300.30869
208	16248.0159
209	16215.60938
210	16185.49213
211	16166.09285
212	16147.36041
213	16120.51748
214	16087.11251
215	16053.74633
216	16003.95223
217	15981.09222
218	15939.40607
219	15900.82163
220	15853.02666
221	15806.78387
222	15772.0133
223	15742.14158
224	15709.45468
225	15679.43038
226	15641.81348
227	15605.93526
228	15564.42093
229	15540.62285
230	15507.49914
231	15469.17566
232	15459.95995
233	15419.15857
234	15375.81091
235	15349.14572
236	15313.42193
237	15295.19458
238	15280.07825
239	15241.0348
240	15214.67472
241	15187.98202
242	15157.11835
243	15118.01419
244	15080.06236
245	15048.69577
246	15000.62997
247	14964.39668
248	14942.07457
249	14915.08214
250	14890.62586
251	14877.99154
252	14830.13991
253	14801.69457
254	14760.54792
255	14738.26769
256	14723.52477
257	14702.3891
258	14676.0817
259	14635.23499
260	14597.56727
261	14561.07581
262	14551.04887
263	14510.73989
264	14473.7426
265	14436.65201
266	14391.41294
267	14348.65237
268	14312.05187
269	14279.7479
270	14265.42143
271	14229.82756
272	14184.72581
273	14150.06612
274	14118.43079
275	14081.94008
276	14071.25859
277	14044.96967
278	14004.12545
279	13975.46329
280	13948.53001
281	13926.51367
282	13922.95854
283	13918.39812
284	13910.62428
285	13906.7824
286	13901.75291
287	13896.88569
288	13870.19971
289	13845.03667
290	13818.29188
291	13813.94061
292	13800.24249
293	13776.19162
294	13756.33852
295	13727.22882
296	13692.26468
297	13687.93135
298	13672.69584
299	13669.44741
300	13632.77674
301	13618.01077
302	13596.51126
303	13569.30587
304	13540.47695
305	13524.93271
306	13489.87423
307	13468.96268
308	13446.32116
309	13416.91538
310	13410.77319
311	13389.11798
312	13367.0515
313	13331.1299
314	13311.6847
315	13272.85122
316	13261.02755
317	13233.98813
318	13202.81864
