iter	Passed	Remaining
0	96	96224
1	114	57195
2	132	43991
3	159	39622
4	196	39171
5	215	35665
6	234	33230
7	252	31324
8	270	29761
9	288	28571
10	306	27557
11	325	26804
12	343	26071
13	353	24917
14	371	24364
15	388	23913
16	406	23526
17	425	23192
18	442	22855
19	460	22549
20	479	22348
21	498	22152
22	517	22001
23	535	21785
24	553	21581
25	570	21390
26	588	21206
27	605	21029
28	624	20912
29	641	20755
30	659	20619
31	683	20662
32	700	20523
33	717	20397
34	735	20282
35	752	20161
36	770	20056
37	788	19952
38	805	19853
39	823	19767
40	842	19697
41	860	19625
42	878	19544
43	896	19475
44	913	19389
45	930	19300
46	949	19248
47	991	19664
48	1027	19939
49	1045	19857
50	1063	19786
51	1081	19724
52	1099	19650
53	1117	19583
54	1135	19513
55	1153	19444
56	1171	19375
57	1190	19330
58	1207	19262
59	1225	19202
60	1243	19140
61	1261	19079
62	1278	19014
63	1295	18952
64	1313	18893
65	1331	18841
66	1348	18784
67	1366	18728
68	1384	18677
69	1401	18619
70	1418	18559
71	1436	18512
72	1453	18460
73	1470	18407
74	1488	18361
75	1506	18310
76	1523	18260
77	1541	18216
78	1558	18168
79	1576	18124
80	1593	18082
81	1611	18044
82	1631	18024
83	1651	18012
84	1668	17961
85	1686	17928
86	1703	17879
87	1720	17835
88	1738	17795
89	1756	17762
90	1773	17719
91	1790	17675
92	1808	17636
93	1826	17604
94	1843	17561
95	1860	17521
96	1877	17481
97	1895	17447
98	1912	17405
99	1929	17366
100	1947	17330
101	1964	17297
102	1986	17303
103	2005	17275
104	2023	17249
105	2041	17220
106	2064	17233
107	2098	17328
108	2130	17416
109	2148	17380
110	2166	17353
111	2184	17322
112	2203	17295
113	2221	17264
114	2237	17221
115	2255	17190
116	2273	17155
117	2291	17129
118	2308	17092
119	2325	17055
120	2342	17019
121	2360	16985
122	2376	16945
123	2393	16906
124	2410	16873
125	2427	16840
126	2444	16804
127	2461	16769
128	2478	16733
129	2494	16694
130	2511	16662
131	2527	16622
132	2544	16588
133	2561	16552
134	2578	16518
135	2594	16481
136	2611	16448
137	2627	16412
138	2644	16381
139	2661	16351
140	2677	16314
141	2694	16282
142	2712	16256
143	2730	16230
144	2746	16195
145	2763	16163
146	2781	16142
147	2800	16122
148	2818	16096
149	2836	16072
150	2854	16049
151	2871	16017
152	2888	15988
153	2905	15961
154	2923	15936
155	2941	15913
156	2958	15884
157	2976	15862
158	2994	15838
159	3015	15830
160	3033	15810
161	3052	15791
162	3071	15772
163	3089	15747
164	3107	15726
165	3127	15710
166	3144	15686
167	3166	15681
168	3184	15656
169	3201	15633
170	3219	15605
171	3236	15580
172	3253	15554
173	3271	15531
174	3289	15506
175	3306	15479
176	3323	15453
177	3341	15428
178	3358	15401
179	3374	15374
180	3392	15350
181	3410	15326
182	3427	15300
183	3445	15278
184	3462	15254
185	3480	15231
186	3497	15206
187	3514	15177
188	3531	15151
189	3548	15126
190	3564	15099
191	3581	15073
192	3599	15049
193	3618	15031
194	3636	15010
195	3653	14986
196	3671	14964
197	3688	14938
198	3704	14912
199	3722	14888
200	3739	14863
201	3756	14838
202	3773	14816
203	3791	14794
204	3808	14771
205	3826	14748
206	3844	14727
207	3862	14706
208	3881	14691
209	3899	14670
210	3917	14648
211	3934	14626
212	3952	14602
213	3969	14580
214	3987	14559
215	4005	14537
216	4026	14528
217	4051	14532
218	4069	14510
219	4087	14490
220	4105	14472
221	4123	14451
222	4144	14439
223	4163	14423
224	4182	14405
225	4201	14387
226	4219	14369
227	4238	14350
228	4256	14329
229	4272	14304
230	4289	14280
231	4307	14258
232	4323	14233
233	4339	14205
234	4356	14180
235	4372	14155
236	4389	14132
237	4406	14107
238	4423	14084
239	4440	14062
240	4457	14037
241	4474	14014
242	4491	13990
243	4508	13967
244	4525	13945
245	4542	13921
246	4559	13900
247	4577	13880
248	4594	13858
249	4611	13835
250	4629	13813
251	4645	13789
252	4661	13764
253	4679	13743
254	4695	13719
255	4712	13696
256	4729	13673
257	4746	13650
258	4762	13626
259	4780	13604
260	4797	13583
261	4813	13559
262	4831	13538
263	4847	13515
264	4864	13493
265	4881	13469
266	4898	13448
267	4915	13426
268	4931	13401
269	4947	13376
270	4964	13354
271	4980	13330
272	4997	13308
273	5014	13286
274	5031	13265
275	5048	13242
276	5064	13218
277	5080	13195
278	5098	13176
279	5116	13155
280	5132	13133
281	5148	13108
282	5165	13086
283	5182	13064
284	5198	13042
285	5214	13018
286	5232	12998
287	5248	12975
288	5265	12954
289	5283	12935
290	5304	12923
291	5321	12903
292	5339	12884
293	5357	12864
294	5374	12844
295	5395	12832
296	5415	12818
297	5435	12804
298	5453	12785
299	5472	12769
300	5493	12756
301	5513	12742
302	5533	12728
303	5552	12712
304	5573	12700
305	5593	12685
306	5613	12670
307	5633	12656
308	5653	12642
309	5673	12627
310	5693	12613
311	5713	12598
312	5734	12585
313	5755	12573
314	5776	12560
315	5796	12547
316	5816	12532
317	5836	12517
318	5856	12503
